epoch,test_time,train_time,loss,accuracy
1,16.552604624,13.465777944,0.0121,45
2,32.633237365,29.623093889,0.0103,64
3,48.702908005,45.700716772999996,0.0094,69
4,64.718948477,61.716674469,0.0091,69
5,80.688691719,77.686378019,0.0085,69
6,96.664581848,93.662558196,0.0081,72
7,112.753216952,109.73051728200001,0.0079,74
8,128.768383417,125.769658401,0.0076,73
9,144.85115958499998,141.83972988399998,0.0074,74
10,160.89384040599998,157.882190901,0.0071,75
11,176.9442876,173.915906636,0.0069,76
12,193.007206173,189.99634127099998,0.0068,75
13,209.062287194,206.051497735,0.0066,78
14,225.119396893,222.11716918,0.0065,79
15,241.255425495,238.192330963,0.0063,79
16,257.43376500299996,254.421108956,0.0060,78
17,274.021133756,270.893752526,0.0060,80
18,290.401077031,287.367208695,0.0059,78
19,306.445244054,303.441283271,0.0057,80
20,322.498130465,319.49406835499997,0.0056,81
21,338.61703964,335.599898564,0.0055,80
22,354.728709018,351.717498812,0.0054,81
23,370.89301953899997,367.838603387,0.0053,81
24,386.98010107799996,383.966555336,0.0052,82
25,403.03625062599997,400.027168866,0.0054,81
26,419.444717717,416.40767111499997,0.0051,82
27,435.900982813,432.858072646,0.0051,82
28,452.571497937,449.38594973799997,0.0051,82
29,469.010256534,465.961610886,0.0049,82
30,485.130476522,482.110642782,0.0049,82
31,501.31051032799996,498.275158739,0.0048,83
32,517.423713271,514.414630085,0.0047,84
33,533.558895703,530.550958602,0.0047,84
34,549.705589479,546.695792298,0.0048,83
35,565.832145891,562.7960436989999,0.0045,83
36,581.93126409,578.92681888,0.0046,86
37,598.002975436,594.999644318,0.0047,83
38,614.110790898,611.098813279,0.0045,84
39,630.22183593,627.206462633,0.0044,86
40,646.374070753,643.361402315,0.0045,85
41,662.526575287,659.512480986,0.0043,86
42,678.681709859,675.666031026,0.0044,85
43,694.835740139,691.823554147,0.0042,84
44,710.991952746,707.977989622,0.0043,85
45,727.163726365,724.150062723,0.0042,86
46,743.264637885,740.250517974,0.0043,85
47,759.367607655,756.351638213,0.0041,86
48,775.4703100199999,772.458157149,0.0040,86
49,791.57022802,788.558249154,0.0042,86
50,807.685407669,804.671777093,0.0041,86
51,823.79908752,820.786514271,0.0039,87
52,839.913547476,836.901324423,0.0042,84
53,856.033757781,853.022312751,0.0044,85
54,872.227320837,869.14423286,0.0041,85
55,888.41018695,885.402901469,0.0039,86
56,904.505934218,901.500283826,0.0038,87
57,920.625545206,917.610811236,0.0040,87
58,936.713830468,933.708532842,0.0039,87
59,952.841942628,949.837132535,0.0037,87
60,968.94555268,965.931874517,0.0038,88
61,985.101639105,982.097279632,0.0038,87
62,1001.266989598,998.250255647,0.0039,87
63,1017.3922087,1014.389195983,0.0037,87
64,1033.474343458,1030.4711322090002,0.0037,88
65,1049.554220813,1046.55129222,0.0038,87
66,1065.642047907,1062.6404547030002,0.0037,87
67,1081.738217926,1078.7360710090002,0.0037,87
68,1097.831353896,1094.8298653420002,0.0036,87
69,1113.9216770130001,1110.922470466,0.0037,87
70,1130.023916731,1127.022545799,0.0036,87
71,1146.1517464410001,1143.1474487280002,0.0036,87
72,1162.2826210290002,1159.2785657450002,0.0035,88
73,1178.426801622,1175.421216549,0.0035,88
74,1194.5632873830002,1191.558648634,0.0035,88
