Time Elapsed: 13051.75s, Average test loss: 0.0006, Test accuracy: 1088/1446 (75%)
Time Elapsed: 13237.64s, Average test loss: 0.0006, Test accuracy: 1093/1446 (75%)
Time Elapsed: 13421.41s, Average test loss: 0.0006, Test accuracy: 1099/1446 (76%)
Time Elapsed: 13605.13s, Average test loss: 0.0006, Test accuracy: 1066/1446 (73%)
Time Elapsed: 13774.81s, Average test loss: 0.0006, Test accuracy: 1103/1446 (76%)
Time Elapsed: 13964.60s, Average test loss: 0.0006, Test accuracy: 1080/1446 (74%)
Time Elapsed: 14142.37s, Average test loss: 0.0005, Test accuracy: 1114/1446 (77%)
Time Elapsed: 14326.72s, Average test loss: 0.0005, Test accuracy: 1101/1446 (76%)
Time Elapsed: 14512.97s, Average test loss: 0.0005, Test accuracy: 1111/1446 (76%)
Time Elapsed: 14690.24s, Average test loss: 0.0005, Test accuracy: 1078/1446 (74%)
Time Elapsed: 14874.91s, Average test loss: 0.0005, Test accuracy: 1112/1446 (76%)
Time Elapsed: 15051.35s, Average test loss: 0.0005, Test accuracy: 1104/1446 (76%)
Time Elapsed: 15238.58s, Average test loss: 0.0005, Test accuracy: 1133/1446 (78%)
Time Elapsed: 15417.51s, Average test loss: 0.0005, Test accuracy: 1107/1446 (76%)
Time Elapsed: 15601.45s, Average test loss: 0.0005, Test accuracy: 1142/1446 (78%)
Time Elapsed: 15778.91s, Average test loss: 0.0005, Test accuracy: 1120/1446 (77%)
Time Elapsed: 15965.59s, Average test loss: 0.0005, Test accuracy: 1135/1446 (78%)
Time Elapsed: 16144.39s, Average test loss: 0.0005, Test accuracy: 1103/1446 (76%)
Time Elapsed: 16327.01s, Average test loss: 0.0005, Test accuracy: 1136/1446 (78%)
Time Elapsed: 16506.17s, Average test loss: 0.0005, Test accuracy: 1134/1446 (78%)
Time Elapsed: 16692.70s, Average test loss: 0.0005, Test accuracy: 1122/1446 (77%)
Time Elapsed: 16880.25s, Average test loss: 0.0005, Test accuracy: 1119/1446 (77%)
Time Elapsed: 17052.56s, Average test loss: 0.0005, Test accuracy: 1145/1446 (79%)
Time Elapsed: 17246.72s, Average test loss: 0.0004, Test accuracy: 1143/1446 (79%)
Time Elapsed: 17429.83s, Average test loss: 0.0005, Test accuracy: 1128/1446 (78%)
Time Elapsed: 17615.55s, Average test loss: 0.0004, Test accuracy: 1139/1446 (78%)
Time Elapsed: 17789.33s, Average test loss: 0.0004, Test accuracy: 1166/1446 (80%)
Time Elapsed: 17974.00s, Average test loss: 0.0004, Test accuracy: 1160/1446 (80%)
Time Elapsed: 18158.59s, Average test loss: 0.0004, Test accuracy: 1139/1446 (78%)
Time Elapsed: 18344.90s, Average test loss: 0.0004, Test accuracy: 1172/1446 (81%)
Time Elapsed: 18519.07s, Average test loss: 0.0004, Test accuracy: 1157/1446 (80%)
Time Elapsed: 18692.56s, Average test loss: 0.0004, Test accuracy: 1168/1446 (80%)
Time Elapsed: 18881.99s, Average test loss: 0.0004, Test accuracy: 1143/1446 (79%)
Time Elapsed: 19066.38s, Average test loss: 0.0004, Test accuracy: 1163/1446 (80%)
Time Elapsed: 19251.89s, Average test loss: 0.0004, Test accuracy: 1162/1446 (80%)
Time Elapsed: 19433.87s, Average test loss: 0.0004, Test accuracy: 1175/1446 (81%)
Time Elapsed: 19616.90s, Average test loss: 0.0004, Test accuracy: 1168/1446 (80%)
Time Elapsed: 19800.82s, Average test loss: 0.0004, Test accuracy: 1187/1446 (82%)
Time Elapsed: 19974.11s, Average test loss: 0.0004, Test accuracy: 1178/1446 (81%)
Time Elapsed: 20156.32s, Average test loss: 0.0004, Test accuracy: 1187/1446 (82%)
Time Elapsed: 20340.67s, Average test loss: 0.0004, Test accuracy: 1191/1446 (82%)
Time Elapsed: 20523.75s, Average test loss: 0.0004, Test accuracy: 1168/1446 (80%)
Time Elapsed: 20706.39s, Average test loss: 0.0004, Test accuracy: 1142/1446 (78%)
Time Elapsed: 20890.18s, Average test loss: 0.0004, Test accuracy: 1190/1446 (82%)
Time Elapsed: 21063.57s, Average test loss: 0.0004, Test accuracy: 1202/1446 (83%)
Time Elapsed: 21247.50s, Average test loss: 0.0004, Test accuracy: 1206/1446 (83%)
Time Elapsed: 21432.58s, Average test loss: 0.0003, Test accuracy: 1206/1446 (83%)
Time Elapsed: 21609.48s, Average test loss: 0.0003, Test accuracy: 1207/1446 (83%)
Time Elapsed: 21781.59s, Average test loss: 0.0003, Test accuracy: 1206/1446 (83%)
Time Elapsed: 21970.36s, Average test loss: 0.0003, Test accuracy: 1209/1446 (83%)
Time Elapsed: 22159.03s, Average test loss: 0.0004, Test accuracy: 1212/1446 (83%)
Time Elapsed: 22331.28s, Average test loss: 0.0004, Test accuracy: 1210/1446 (83%)
Time Elapsed: 22506.97s, Average test loss: 0.0003, Test accuracy: 1214/1446 (83%)
Time Elapsed: 22691.56s, Average test loss: 0.0004, Test accuracy: 1184/1446 (81%)
Time Elapsed: 22863.59s, Average test loss: 0.0003, Test accuracy: 1220/1446 (84%)
Time Elapsed: 23044.77s, Average test loss: 0.0004, Test accuracy: 1207/1446 (83%)
Time Elapsed: 23229.29s, Average test loss: 0.0004, Test accuracy: 1208/1446 (83%)
Time Elapsed: 23400.64s, Average test loss: 0.0003, Test accuracy: 1211/1446 (83%)
Time Elapsed: 23590.59s, Average test loss: 0.0003, Test accuracy: 1186/1446 (82%)
Time Elapsed: 23767.98s, Average test loss: 0.0003, Test accuracy: 1206/1446 (83%)
Time Elapsed: 23947.94s, Average test loss: 0.0003, Test accuracy: 1222/1446 (84%)
Time Elapsed: 24131.01s, Average test loss: 0.0004, Test accuracy: 1187/1446 (82%)
Time Elapsed: 24317.52s, Average test loss: 0.0004, Test accuracy: 1140/1446 (78%)
Time Elapsed: 24504.01s, Average test loss: 0.0004, Test accuracy: 1190/1446 (82%)
Time Elapsed: 24688.62s, Average test loss: 0.0003, Test accuracy: 1224/1446 (84%)
Time Elapsed: 24860.93s, Average test loss: 0.0003, Test accuracy: 1220/1446 (84%)
Time Elapsed: 25046.63s, Average test loss: 0.0003, Test accuracy: 1220/1446 (84%)
Time Elapsed: 25230.95s, Average test loss: 0.0003, Test accuracy: 1225/1446 (84%)
Time Elapsed: 25400.78s, Average test loss: 0.0003, Test accuracy: 1206/1446 (83%)
Time Elapsed: 25591.51s, Average test loss: 0.0003, Test accuracy: 1179/1446 (81%)
Time Elapsed: 25775.57s, Average test loss: 0.0003, Test accuracy: 1214/1446 (83%)
Time Elapsed: 25960.65s, Average test loss: 0.0003, Test accuracy: 1198/1446 (82%)
Time Elapsed: 26142.77s, Average test loss: 0.0003, Test accuracy: 1213/1446 (83%)
Time Elapsed: 26312.48s, Average test loss: 0.0003, Test accuracy: 1219/1446 (84%)
Time Elapsed: 26501.87s, Average test loss: 0.0003, Test accuracy: 1212/1446 (83%)
Time Elapsed: 26686.52s, Average test loss: 0.0003, Test accuracy: 1213/1446 (83%)
Time Elapsed: 26863.92s, Average test loss: 0.0003, Test accuracy: 1203/1446 (83%)
Time Elapsed: 27042.73s, Average test loss: 0.0004, Test accuracy: 1164/1446 (80%)
Time Elapsed: 27219.16s, Average test loss: 0.0004, Test accuracy: 1127/1446 (77%)
Time Elapsed: 27406.03s, Average test loss: 0.0004, Test accuracy: 1185/1446 (81%)
